,Element,Valence,rc,lloc,qc,kpt_string,no_kpt,kx,ky,kz,v0,B0,B1
1,H,1s1,0.8,1,8,25×25×17,585,25,25,17,17.345,10.301,2.657
2,He,1s2,1,1,8,33×33×18,972,33,33,18,17.706,0.901,6.284
3,Li,1s22s1,1.2,1,8,32×32×4,1056,32,32,4,20.216,13.827,3.323
4,Be,1s22s2,1.1,1,9,43×43×24,2112,43,43,24,7.917,124.85,3.324
5,B,2s22p1,1.2,1,8,21×21×20,2310,21,21,20,7.224,235.664,3.446
6,C,2s22p2,1.2,1,8,39×39×10,735,39,39,10,11.658,206.75,3.549
7,N,2s22p3,1.1,1,9,14×14×14,119,14,14,14,29.019,52.611,3.691
8,O,2s22p4,1.2,2,9,22×20×20,2200,22,20,20,18.391,50.928,3.856
9,F,2s22p5,1.4,2,8,14×23×13,1092,14,23,13,19.117,33.786,3.985
10,Ne,2s22p6,1.4,2,8,19×19×19,220,19,19,19,24.099,1.235,6.501
11,Na,2s22p63s1,1.5,2,8,26×26×4,702,26,26,4,37.663,7.604,3.634
12,Mg,3s2,1.8,1,-,31×31×17,864,31,31,17,22.773,36.343,4.333
13,Al,3s23p1,1.6,1,-,21×21×21,286,21,21,21,16.466,76.97,4.3
14,Si,3s23p2,1.6,1,-,27×27×27,560,27,27,27,20.415,88.326,4.299
15,P,3s23p3,1.59,1,-,26×8×19,520,26,8,19,21.414,68.104,4.328
16,S,3s23p4,1.8,1,-,33×33×33,3281,33,33,33,17.089,86.599,3.876
17,Cl,3s23p5,1.59,1,6,11×20×10,300,11,20,10,38.573,19.122,4.376
18,Ar,3s23p6,1.6,2,6,15×15×15,120,15,15,15,51.734,0.779,7.292
19,K,3s23p64s1,1.5,2,6,16×16×16,120,16,16,16,73.651,3.561,3.604
20,Ca,3s23p64s2,2,3,6,16×16×16,120,16,16,16,42.227,17.479,3.334
21,Sc,3s23p63d14s2,1.8,3,7,29×29×17,765,29,29,17,24.697,54.195,3.354
22,Ti,3s23p63d24s2,1.79,3,7,33×33×18,972,33,33,18,17.467,112.052,3.563
23,V,3s23p63d34s2,1.6,3,7,28×28×28,560,28,28,28,13.461,182.59,3.864
24,Cr,3s23p63d54s1,1.3,3,10.5,30×30×30,680,30,30,30,11.888,157.036,5.795
25,Mn,3s23p63d54s2,1.3,3,10.5,24×24×24,936,24,24,24,11.795,133.157,2.8
26,Fe,3s23p63d64s2,1.29,3,10.5,30×30×30,680,30,30,30,11.37,163.553,9.389
27,Co,3s23p63d74s2,1.3,3,10.5,39×39×21,1617,39,39,21,10.854,202.682,4.408
28,Ni,3s23p63d84s2,1.3,3,10.5,24×24×24,364,24,24,24,10.852,181.322,7.46
29,Cu,3d104s1,1.81,3,4.5,23×23×23,364,23,23,23,12.005,138.665,5.116
30,Zn,3d104s2,1.81,3,4.5,37×37×17,1197,37,37,17,15.192,74.889,5.598
31,Ga,3d104s24p1,1.81,3,4.5,19×11×19,600,19,11,19,20.378,48.309,5.383
32,Ge,3d104s24p2,1.79,3,5,26×26×26,1638,26,26,26,23.975,58.576,4.859
33,As,3d104s24p3,1.8,3,5.5,26×26×8,1404,26,26,8,22.75,68.024,4.288
34,Se,3d104s24p4,1.8,3,6,22×22×17,2156,22,22,17,30.086,46.607,4.516
35,Br,3d104s24p5,1.8,3,6,11×20×10,300,11,20,10,39.999,22.169,4.794
36,Kr,4s24p6,1.9,2,-,13×13×13,84,13,13,13,65.935,0.654,7.21
37,Rb,4s24p65s1,2.09,2,-,15×15×15,120,15,15,15,91.284,2.758,3.787
38,Sr,4s24p65s2,2,3,-,14×14×14,84,14,14,14,54.81,11.953,3.185
39,Y,4s24p64d15s2,2,3,-,27×27×15,600,27,27,15,32.799,41.159,3.14
40,Zr,4s24p64d25s2,2.1,3,-,30×30×17,2160,30,30,17,23.457,95.841,3.351
41,Nb,4s24p64d45s1,1.4,3,8,26×26×26,455,26,26,26,18.183,168.693,3.736
42,Mo,4s24p64d55s1,1.4,2,8,27×27×27,560,27,27,27,15.837,258.825,4.244
43,Tc,4s24p64d65s1,1.4,2,8,35×35×19,1200,35,35,19,14.47,299.117,4.539
44,Ru,4s24p64d75s1,1.39,2,8,36×36×20,3420,36,36,20,13.778,313.081,4.883
45,Rh,4s24p64d85s1,1.4,2,8,22×22×22,286,22,22,22,14.05,257.517,5.208
46,Pd,4s24p64d105s0,1.5,2,8,22×22×22,286,22,22,22,15.355,167.271,5.579
47,Ag,4s24p64d105s1,1.5,2,8,21×21×21,286,21,21,21,17.843,91.041,5.863
48,Cd,4s24p64d105s2,1.5,2,9,32×32×15,2176,32,32,15,22.613,46.179,6.48
49,In,4d105s25p1,2.61,3,6,26×26×17,819,26,26,17,27.686,35.151,5.082
50,Sn,4d105s25p2,2.6,3,6,22×22×22,1012,22,22,22,37.013,35.392,4.881
51,Sb,5s25p3,2.59,2,6,22×22×8,1012,22,22,8,31.845,50.752,4.395
52,Te,5s25p4,2.2,2,-,22×22×14,1771,22,22,14,35.011,45,4.734
53,I,5s25p5,2.2,2,-,10×19×9,250,10,19,9,50.543,18.607,5.097
54,Xe,5s25p6,2.19,2,-,12×12×12,56,12,12,12,86.397,0.553,7.177
55,Cs,5s25p66s1,2.19,2,5,14×14×14,84,14,14,14,116.524,1.954,3.497
56,Ba,5s25p66s2,2,2,5.5,17×17×17,165,17,17,17,63.143,8.815,2.937
71,Lu,5s25p65d16s2,1.8,2,8,28×28×16,1680,28,28,16,29.332,46.265,3.351
72,Hf,5s25p65d26s2,1.8,2,8,31×31×17,864,31,31,17,22.562,104.063,3.365
73,Ta,5s25p65d36s2,1.79,2,8,26×26×26,455,26,26,26,18.273,187.763,3.693
74,W,5s25p65d46s2,1.6,3,8,27×27×27,560,27,27,27,16.137,302.279,4.19
75,Re,5s25p65d56s2,1.81,3,8,35×35×19,1200,35,35,19,14.962,363.236,4.441
76,Os,5s25p65d66s2,1.8,2,8,35×35×20,1200,35,35,20,14.298,389.497,4.795
77,Ir,5s25p65d76s2,1.6,3,7,22×22×22,286,22,22,22,14.502,346.312,5.112
78,Pt,5s25p65d96s1,1.6,3,7,21×21×21,286,21,21,21,15.642,247.097,5.457
79,Au,5s25p65d106s1,1.6,3,7,20×20×20,220,20,20,20,17.955,139.479,6.008
80,Hg,5d106s2,2.79,3,5,21×21×24,792,21,21,24,29.402,8.443,8.523
81,Tl,5d106s26p1,2.8,3,5,27×27×15,600,27,27,15,31.511,26.584,5.227
82,Pb,5d106s26p2,2.4,3,7,17×17×17,165,17,17,17,31.959,39.508,4.775
83,Bi,6s26p3,2.2,2,7,21×21×7,303,21,21,7,36.704,43.213,4.944
84,Po,6s26p4,2.19,2,7,25×25×25,455,25,25,25,37.603,45.942,4.351
86,Rn,6s26p6,2.2,2,7,12×12×12,56,12,12,12,93.362,0.543,7.221
